Series ID,Year,Period,Label,Value
LNS11300000,1948,M01,1948 Jan,58.6
LNS11300000,1948,M02,1948 Feb,58.9
LNS11300000,1948,M03,1948 Mar,58.5
LNS11300000,1948,M04,1948 Apr,59.0
LNS11300000,1948,M05,1948 May,58.3
LNS11300000,1948,M06,1948 Jun,59.2
LNS11300000,1948,M07,1948 Jul,59.3
LNS11300000,1948,M08,1948 Aug,58.9
LNS11300000,1948,M09,1948 Sep,58.9
LNS11300000,1948,M10,1948 Oct,58.7
LNS11300000,1948,M11,1948 Nov,58.7
LNS11300000,1948,M12,1948 Dec,59.1
LNS11300000,1949,M01,1949 Jan,58.7
LNS11300000,1949,M02,1949 Feb,59.0
LNS11300000,1949,M03,1949 Mar,58.9
LNS11300000,1949,M04,1949 Apr,58.8
LNS11300000,1949,M05,1949 May,59.0
LNS11300000,1949,M06,1949 Jun,58.6
LNS11300000,1949,M07,1949 Jul,58.9
LNS11300000,1949,M08,1949 Aug,59.2
LNS11300000,1949,M09,1949 Sep,59.1
LNS11300000,1949,M10,1949 Oct,59.6
LNS11300000,1949,M11,1949 Nov,59.4
LNS11300000,1949,M12,1949 Dec,59.2
LNS11300000,1950,M01,1950 Jan,58.9
LNS11300000,1950,M02,1950 Feb,58.9
LNS11300000,1950,M03,1950 Mar,58.8
LNS11300000,1950,M04,1950 Apr,59.2
LNS11300000,1950,M05,1950 May,59.1
LNS11300000,1950,M06,1950 Jun,59.4
LNS11300000,1950,M07,1950 Jul,59.1
LNS11300000,1950,M08,1950 Aug,59.5
LNS11300000,1950,M09,1950 Sep,59.2
LNS11300000,1950,M10,1950 Oct,59.4
LNS11300000,1950,M11,1950 Nov,59.3
LNS11300000,1950,M12,1950 Dec,59.2
LNS11300000,1951,M01,1951 Jan,59.1
LNS11300000,1951,M02,1951 Feb,59.1
LNS11300000,1951,M03,1951 Mar,59.8
LNS11300000,1951,M04,1951 Apr,59.1
LNS11300000,1951,M05,1951 May,59.4
LNS11300000,1951,M06,1951 Jun,59.0
LNS11300000,1951,M07,1951 Jul,59.4
LNS11300000,1951,M08,1951 Aug,59.2
LNS11300000,1951,M09,1951 Sep,59.1
LNS11300000,1951,M10,1951 Oct,59.4
LNS11300000,1951,M11,1951 Nov,59.2
LNS11300000,1951,M12,1951 Dec,59.6
LNS11300000,1952,M01,1952 Jan,59.5
LNS11300000,1952,M02,1952 Feb,59.5
LNS11300000,1952,M03,1952 Mar,58.9
LNS11300000,1952,M04,1952 Apr,58.8
LNS11300000,1952,M05,1952 May,59.1
LNS11300000,1952,M06,1952 Jun,59.1
