Series ID,Year,Period,Label,Value
LNS11300000,2000,M01,2000 Jan,67.3
LNS11300000,2000,M02,2000 Feb,67.3
LNS11300000,2000,M03,2000 Mar,67.3
LNS11300000,2000,M04,2000 Apr,67.3
LNS11300000,2000,M05,2000 May,67.1
LNS11300000,2000,M06,2000 Jun,67.1
LNS11300000,2000,M07,2000 Jul,66.9
LNS11300000,2000,M08,2000 Aug,66.9
LNS11300000,2000,M09,2000 Sep,66.9
LNS11300000,2000,M10,2000 Oct,66.8
LNS11300000,2000,M11,2000 Nov,66.9
LNS11300000,2000,M12,2000 Dec,67.0
LNS11300000,2001,M01,2001 Jan,67.2
LNS11300000,2001,M02,2001 Feb,67.1
LNS11300000,2001,M03,2001 Mar,67.2
LNS11300000,2001,M04,2001 Apr,66.9
LNS11300000,2001,M05,2001 May,66.7
LNS11300000,2001,M06,2001 Jun,66.7
LNS11300000,2001,M07,2001 Jul,66.8
LNS11300000,2001,M08,2001 Aug,66.5
LNS11300000,2001,M09,2001 Sep,66.8
LNS11300000,2001,M10,2001 Oct,66.7
LNS11300000,2001,M11,2001 Nov,66.7
LNS11300000,2001,M12,2001 Dec,66.7
LNS11300000,2002,M01,2002 Jan,66.5
LNS11300000,2002,M02,2002 Feb,66.8
LNS11300000,2002,M03,2002 Mar,66.6
LNS11300000,2002,M04,2002 Apr,66.7
LNS11300000,2002,M05,2002 May,66.7
LNS11300000,2002,M06,2002 Jun,66.6
LNS11300000,2002,M07,2002 Jul,66.5
LNS11300000,2002,M08,2002 Aug,66.6
LNS11300000,2002,M09,2002 Sep,66.7
LNS11300000,2002,M10,2002 Oct,66.6
LNS11300000,2002,M11,2002 Nov,66.4
LNS11300000,2002,M12,2002 Dec,66.3
LNS11300000,2003,M01,2003 Jan,66.4
LNS11300000,2003,M02,2003 Feb,66.4
LNS11300000,2003,M03,2003 Mar,66.3
LNS11300000,2003,M04,2003 Apr,66.4
LNS11300000,2003,M05,2003 May,66.4
LNS11300000,2003,M06,2003 Jun,66.5
LNS11300000,2003,M07,2003 Jul,66.2
LNS11300000,2003,M08,2003 Aug,66.1
LNS11300000,2003,M09,2003 Sep,66.1
LNS11300000,2003,M10,2003 Oct,66.1
LNS11300000,2003,M11,2003 Nov,66.1
LNS11300000,2003,M12,2003 Dec,65.9
LNS11300000,2004,M01,2004 Jan,66.1
LNS11300000,2004,M02,2004 Feb,66.0
LNS11300000,2004,M03,2004 Mar,66.0
LNS11300000,2004,M04,2004 Apr,65.9
LNS11300000,2004,M05,2004 May,66.0
LNS11300000,2004,M06,2004 Jun,66.1
LNS11300000,2004,M07,2004 Jul,66.1
LNS11300000,2004,M08,2004 Aug,66.0
LNS11300000,2004,M09,2004 Sep,65.8
LNS11300000,2004,M10,2004 Oct,65.9
LNS11300000,2004,M11,2004 Nov,66.0
LNS11300000,2004,M12,2004 Dec,65.9
LNS11300000,2005,M01,2005 Jan,65.8
